State/Union Territory,Stunted (Height-for-age)1,Wasted (Weight-for-Height)1,Underweight (Weight-for-Age)1
India,35.5,19.3,32.1
Andaman and Nicobar Islands,22.5,16,23.6
Andhra Pradesh,31.2,16.1,29.6
Arunachal Pradesh,28,13.1,15.4
Assam,35.3,21.7,32.8
Bihar,42.9,22.9,41
Chandigarh,25.3,8.4,20.6
Chhattisgarh,34.6,18.9,31.3
Dadra and Nagar Haveli and Daman and Diu,39.4,21.6,38.7
Delhi,30.9,11.2,21.8
Goa,25.8,19.1,24
Gujarat,39,25.1,39.7
Haryana,27.5,11.5,21.5
Himachal Pradesh,30.8,17.4,25.5
Jammu and Kashmir,26.9,19,21
Jharkhand,39.6,22.4,39.4
Karnataka,35.4,19.5,32.9
Kerala,23.4,15.8,19.7
Ladakh,30.5,17.5,20.4
Lakshadweep,32,17.4,25.8
Madhya Pradesh,35.7,18.9,33
Maharashtra,35.2,25.6,36.1
Manipur,23.4,9.9,13.3
Meghalaya,46.5,12.1,26.6
Mizoram,28.9,9.8,12.7
Nagaland,32.7,19.1,26.9
Odisha,31,18.1,29.7
Puducherry,20,12.4,15.3
Punjab,24.5,10.6,16.9
Rajasthan,31.8,16.8,27.6
Sikkim,22.3,13.6,13.1
Tamil Nadu,25,14.6,22
Telangana,33.1,21.7,31.8
Tripura,32.3,18.2,25.6
Uttar Pradesh,39.7,17.3,32.1
Uttarakhand,27,13.2,21
West Bengal,33.8,20.3,32.2
